iter	Passed	Remaining
613	2486	1563
614	2489	1558
615	2492	1554
616	2496	1549
617	2499	1544
618	2502	1540
619	2506	1536
620	2510	1532
621	2513	1527
622	2517	1523
623	2520	1518
624	2524	1514
625	2527	1510
626	2530	1505
627	2535	1501
628	2538	1497
629	2541	1492
630	2545	1488
631	2548	1483
632	2552	1479
633	2555	1475
634	2558	1470
635	2562	1466
636	2565	1462
637	2569	1457
638	2573	1453
639	2576	1449
640	2583	1446
641	2586	1442
642	2590	1438
643	2594	1434
644	2598	1430
645	2602	1426
646	2606	1422
647	2610	1418
648	2615	1414
649	2618	1410
650	2622	1405
651	2625	1401
652	2629	1397
653	2633	1393
654	2637	1389
655	2641	1385
656	2645	1380
657	2648	1376
658	2652	1372
659	2676	1378
660	2706	1388
661	2711	1384
662	2714	1379
663	2719	1375
664	2722	1371
665	2725	1367
666	2729	1362
667	2733	1358
668	2736	1353
669	2739	1349
670	2743	1345
671	2747	1340
672	2750	1336
673	2754	1332
674	2757	1327
675	2761	1323
676	2764	1319
677	2768	1314
678	2771	1310
679	2775	1306
680	2779	1302
681	2783	1297
682	2786	1293
683	2789	1288
684	2792	1284
685	2795	1279
686	2798	1275
687	2802	1270
688	2805	1266
689	2809	1262
690	2812	1257
691	2815	1253
692	2818	1248
693	2822	1244
694	2826	1240
695	2829	1235
696	2832	1231
697	2836	1227
698	2839	1222
699	2842	1218
700	2845	1213
701	2849	1209
702	2853	1205
703	2856	1200
704	2859	1196
705	2862	1192
706	2868	1188
707	2871	1184
708	2875	1180
709	2878	1175
710	2882	1171
711	2885	1167
712	2888	1162
713	2891	1158
714	2895	1154
715	2898	1149
716	2901	1145
717	2904	1140
718	2907	1136
719	2910	1131
720	2913	1127
721	2915	1122
722	2918	1118
723	2920	1113
724	2923	1109
725	2926	1104
726	2929	1099
727	2931	1095
728	2934	1090
729	2937	1086
730	2940	1081
731	2942	1077
732	2946	1073
733	2949	1068
734	2953	1064
735	2956	1060
736	2960	1056
737	2963	1052
738	2967	1048
739	2970	1043
740	2974	1039
741	2977	1035
742	2980	1030
743	2984	1026
